DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/parsers.cpython-38-darwin.so first seen with mtime 1729027988.5273736
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/compat/numpy/__init__.py first seen with mtime 1729027988.2209654
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/io/xml.py first seen with mtime 1729027988.2686002
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/rest_framework/utils/formatting.py first seen with mtime 1728047727.1331782
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/lib-dynload/_heapq.cpython-38-darwin.so first seen with mtime 1695035329.0
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/__init__.py first seen with mtime 1729027986.8408556
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/utils/regex_helper.py first seen with mtime 1728046927.5054812
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/template/exceptions.py first seen with mtime 1728046927.4890244
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/shared_docs.py first seen with mtime 1729027988.2272308
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/messages/__init__.py first seen with mtime 1728046927.2291217
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/writers.cpython-38-darwin.so first seen with mtime 1729027988.5797791
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/forms/widgets.py first seen with mtime 1728046927.4758012
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/contenttypes/apps.py first seen with mtime 1728046927.0275376
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/collections/abc.py first seen with mtime 1695035380.7678657
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/json/encoder.py first seen with mtime 1695035381.1281085
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/test/utils.py first seen with mtime 1728046927.4947014
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/email/parser.py first seen with mtime 1695035380.9840703
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/numpy/lib/utils.py first seen with mtime 1729027987.03119
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/ops/common.py first seen with mtime 1729027988.2602303
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/dateutil/_common.py first seen with mtime 1729027635.0203793
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/sessions/exceptions.py first seen with mtime 1728046927.3132226
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/asyncio/base_futures.py first seen with mtime 1695035380.6811101
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/admin/actions.py first seen with mtime 1728046926.6911068
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/admin/views/decorators.py first seen with mtime 1728046926.8125255
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/models/functions/comparison.py first seen with mtime 1728046927.470771
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/io/excel/_odfreader.py first seen with mtime 1729027988.2801554
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/_libs/tslibs/offsets.cpython-38-darwin.so first seen with mtime 1729027988.604833
DEBUG 2024-10-17 14:29:23,798 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1728046926.954528
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/window/online.py first seen with mtime 1729027988.2511382
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/logging/__init__.py first seen with mtime 1695035381.2091353
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/core/management/__init__.py first seen with mtime 1728046927.4402454
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/pandas/core/arrays/sparse/__init__.py first seen with mtime 1729027988.2580836
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/Documents/code/projects/spotter/venv/lib/python3.8/site-packages/django/db/backends/base/schema.py first seen with mtime 1728046927.4520874
DEBUG 2024-10-17 14:29:23,799 autoreload File /Users/reddddddddd/.pyenv/versions/3.8.17/lib/python3.8/json/scanner.py first seen with mtime 1695035381.1294332
